name,uid,code,parent,shortName,level,openingDate
Rasaniro Village,Rasaniro Village,Rasaniro Village,Teba Cell,Rasaniro,6,01-01-00
Kigeyo Sector,Kigeyo Sector,Kigeyo Sector,Rutsiro District,Kigeyo,4,01-01-00
Buhindure Cell,Buhindure Cell,Buhindure Cell,Kigeyo Sector,Buhindure,5,01-01-00
Burambo Village,Burambo Village,Burambo Village,Buhindure Cell,Burambo,6,01-01-00
Bushaka Village,Bushaka Village,Bushaka Village,Buhindure Cell,Bushaka,6,01-01-00
Gacaca Village,Gacaca Village,Gacaca Village,Buhindure Cell,Gacaca,6,01-01-00
Gaharawe Village,Gaharawe Village,Gaharawe Village,Buhindure Cell,Gaharawe,6,01-01-00
Gisiza Village,Gisiza Village,Gisiza Village,Buhindure Cell,Gisiza,6,01-01-00
Nkamba Village,Nkamba Village,Nkamba Village,Buhindure Cell,Nkamba,6,01-01-00
Nkomero Village,Nkomero Village,Nkomero Village,Buhindure Cell,Nkomero,6,01-01-00
Nturo Village,Nturo Village,Nturo Village,Buhindure Cell,Nturo,6,01-01-00
Nkora Cell,Nkora Cell,Nkora Cell,Kigeyo Sector,Nkora,5,01-01-00
Buhimba Village,Buhimba Village,Buhimba Village,Nkora Cell,Buhimba,6,01-01-00
Gahotora Village,Gahotora Village,Gahotora Village,Nkora Cell,Gahotora,6,01-01-00
Gasagara Village,Gasagara Village,Gasagara Village,Nkora Cell,Gasagara,6,01-01-00
Gasereganya Village,Gasereganya Village,Gasereganya Village,Nkora Cell,Gasereganya,6,01-01-00
Humiro Village,Humiro Village,Humiro Village,Nkora Cell,Humiro,6,01-01-00
Kabashyembe Village,Kabashyembe Village,Kabashyembe Village,Nkora Cell,Kabashyembe,6,01-01-00
Kanyirahweza Village,Kanyirahweza Village,Kanyirahweza Village,Nkora Cell,Kanyirahweza,6,01-01-00
Karambi Village,Karambi Village,Karambi Village,Nkora Cell,Karambi,6,01-01-00
Kigugu Village,Kigugu Village,Kigugu Village,Nkora Cell,Kigugu,6,01-01-00
Muhora Village,Muhora Village,Muhora Village,Nkora Cell,Muhora,6,01-01-00
Rukundo Village,Rukundo Village,Rukundo Village,Nkora Cell,Rukundo,6,01-01-00
Nyagahinika Cell,Nyagahinika Cell,Nyagahinika Cell,Kigeyo Sector,Nyagahinika,5,01-01-00
Bukungu Village,Bukungu Village,Bukungu Village,Nyagahinika Cell,Bukungu,6,01-01-00
Kampi Village,Kampi Village,Kampi Village,Nyagahinika Cell,Kampi,6,01-01-00
