name,uid,code,parent,shortName,level,openingDate
Rubanda Village,Rubanda Village,Rubanda Village,Ndego Cell,Rubanda,6,01-01-00
Rusoroza Village,Rusoroza Village,Rusoroza Village,Ndego Cell,Rusoroza,6,01-01-00
Rutoma Village,Rutoma Village,Rutoma Village,Ndego Cell,Rutoma,6,01-01-00
Nyakiga Cell,Nyakiga Cell,Nyakiga Cell,Karama Sector,Nyakiga,5,01-01-00
Humure Village,Humure Village,Humure Village,Nyakiga Cell,Humure,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Nyakiga Cell,Kabeza,6,01-01-00
Kanunga Village,Kanunga Village,Kanunga Village,Nyakiga Cell,Kanunga,6,01-01-00
Karama Centre Village,Karama Centre Village,Karama Centre Village,Nyakiga Cell,Karama Centre,6,01-01-00
Kavumu Village,Kavumu Village,Kavumu Village,Nyakiga Cell,Kavumu,6,01-01-00
Kentarama Village,Kentarama Village,Kentarama Village,Nyakiga Cell,Kentarama,6,01-01-00
Mabare Village,Mabare Village,Mabare Village,Nyakiga Cell,Mabare,6,01-01-00
Karangazi Sector,Karangazi Sector,Karangazi Sector,Nyagatare District,Karangazi,4,01-01-00
Kamate Cell,Kamate Cell,Kamate Cell,Karangazi Sector,Kamate,5,01-01-00
Bugarama Village,Bugarama Village,Bugarama Village,Kamate Cell,Bugarama,6,01-01-00
Buhongoro Village,Buhongoro Village,Buhongoro Village,Kamate Cell,Buhongoro,6,01-01-00
Kamate Village,Kamate Village,Kamate Village,Kamate Cell,Kamate,6,01-01-00
Kigazi Village,Kigazi Village,Kigazi Village,Kamate Cell,Kigazi,6,01-01-00
Muzehe Village,Muzehe Village,Muzehe Village,Kamate Cell,Muzehe,6,01-01-00
Karama Cell,Karama Cell,Karama Cell,Karangazi Sector,Karama,5,01-01-00
Karama Village,Karama Village,Karama Village,Karama Cell,Karama,6,01-01-00
Makomo Village,Makomo Village,Makomo Village,Karama Cell,Makomo,6,01-01-00
Rundiro Village,Rundiro Village,Rundiro Village,Karama Cell,Rundiro,6,01-01-00
Kizirakome Cell,Kizirakome Cell,Kizirakome Cell,Karangazi Sector,Kizirakome,5,01-01-00
Kageyo Village,Kageyo Village,Kageyo Village,Kizirakome Cell,Kageyo,6,01-01-00
Kahi Village,Kahi Village,Kahi Village,Kizirakome Cell,Kahi,6,01-01-00
Kizirakome Village,Kizirakome Village,Kizirakome Village,Kizirakome Cell,Kizirakome,6,01-01-00
Rurebe Village,Rurebe Village,Rurebe Village,Kizirakome Cell,Rurebe,6,01-01-00
Mbare Cell,Mbare Cell,Mbare Cell,Karangazi Sector,Mbare,5,01-01-00
Kabirizi Village,Kabirizi Village,Kabirizi Village,Mbare Cell,Kabirizi,6,01-01-00
Kajumo Village,Kajumo Village,Kajumo Village,Mbare Cell,Kajumo,6,01-01-00
Karohoza Village,Karohoza Village,Karohoza Village,Mbare Cell,Karohoza,6,01-01-00
Mbare Village,Mbare Village,Mbare Village,Mbare Cell,Mbare,6,01-01-00
Rwarucura Village,Rwarucura Village,Rwarucura Village,Mbare Cell,Rwarucura,6,01-01-00
Ryabega Village,Ryabega Village,Ryabega Village,Mbare Cell,Ryabega,6,01-01-00
Musenyi Cell,Musenyi Cell,Musenyi Cell,Karangazi Sector,Musenyi,5,01-01-00
Bwanga Village,Bwanga Village,Bwanga Village,Musenyi Cell,Bwanga,6,01-01-00
Gacungiro Village,Gacungiro Village,Gacungiro Village,Musenyi Cell,Gacungiro,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Musenyi Cell,Kabeza,6,01-01-00
Musenyi I Village,Musenyi I Village,Musenyi I Village,Musenyi Cell,Musenyi I,6,01-01-00
Musenyi II Village,Musenyi II Village,Musenyi II Village,Musenyi Cell,Musenyi II,6,01-01-00
Rugarama Village,Rugarama Village,Rugarama Village,Musenyi Cell,Rugarama,6,01-01-00
Ruziranyenzi Village,Ruziranyenzi Village,Ruziranyenzi Village,Musenyi Cell,Ruziranyenzi,6,01-01-00
Ndama Cell,Ndama Cell,Ndama Cell,Karangazi Sector,Ndama,5,01-01-00
Akayange Village,Akayange Village,Akayange Village,Ndama Cell,Akayange,6,01-01-00
Ndama Village,Ndama Village,Ndama Village,Ndama Cell,Ndama,6,01-01-00
Rwabiharamba Village,Rwabiharamba Village,Rwabiharamba Village,Ndama Cell,Rwabiharamba,6,01-01-00
Nyagashanga Cell,Nyagashanga Cell,Nyagashanga Cell,Karangazi Sector,Nyagashanga,5,01-01-00
Bidudu Village,Bidudu Village,Bidudu Village,Nyagashanga Cell,Bidudu,6,01-01-00
Bwera Village,Bwera Village,Bwera Village,Nyagashanga Cell,Bwera,6,01-01-00
Kabare Village,Kabare Village,Kabare Village,Nyagashanga Cell,Kabare,6,01-01-00
Ruhita Village,Ruhita Village,Ruhita Village,Nyagashanga Cell,Ruhita,6,01-01-00
Nyamirama Cell,Nyamirama Cell,Nyamirama Cell,Karangazi Sector,Nyamirama,5,01-01-00
Kayange I Village,Kayange I Village,Kayange I Village,Nyamirama Cell,Kayange I,6,01-01-00
Kayange II Village,Kayange II Village,Kayange II Village,Nyamirama Cell,Kayange II,6,01-01-00
Nkoma I Village,Nkoma I Village,Nkoma I Village,Nyamirama Cell,Nkoma I,6,01-01-00
Nkoma II Village,Nkoma II Village,Nkoma II Village,Nyamirama Cell,Nkoma II,6,01-01-00
Nyamirama I Village,Nyamirama I Village,Nyamirama I Village,Nyamirama Cell,Nyamirama I,6,01-01-00
Nyamirama II Village,Nyamirama II Village,Nyamirama II Village,Nyamirama Cell,Nyamirama II,6,01-01-00
Rubagabaga Cell,Rubagabaga Cell,Rubagabaga Cell,Karangazi Sector,Rubagabaga,5,01-01-00
Iraba Village,Iraba Village,Iraba Village,Rubagabaga Cell,Iraba,6,01-01-00
Nkuna Village,Nkuna Village,Nkuna Village,Rubagabaga Cell,Nkuna,6,01-01-00
Nyarutovu Village,Nyarutovu Village,Nyarutovu Village,Rubagabaga Cell,Nyarutovu,6,01-01-00
Rebero Village,Rebero Village,Rebero Village,Rubagabaga Cell,Rebero,6,01-01-00
Rwenyemera Cell,Rwenyemera Cell,Rwenyemera Cell,Karangazi Sector,Rwenyemera,5,01-01-00
Bwera Village,Bwera Village,Bwera Village,Rwenyemera Cell,Bwera,6,01-01-00
Imishongi Village,Imishongi Village,Imishongi Village,Rwenyemera Cell,Imishongi,6,01-01-00
Kayishunika Village,Kayishunika Village,Kayishunika Village,Rwenyemera Cell,Kayishunika,6,01-01-00
Kizirakome Village,Kizirakome Village,Kizirakome Village,Rwenyemera Cell,Kizirakome,6,01-01-00
Rwenyana Village,Rwenyana Village,Rwenyana Village,Rwenyemera Cell,Rwenyana,6,01-01-00
Rwenyemera Village,Rwenyemera Village,Rwenyemera Village,Rwenyemera Cell,Rwenyemera,6,01-01-00
Rwimirama Village,Rwimirama Village,Rwimirama Village,Rwenyemera Cell,Rwimirama,6,01-01-00
Rwisirabo Cell,Rwisirabo Cell,Rwisirabo Cell,Karangazi Sector,Rwisirabo,5,01-01-00
Gakoma Village,Gakoma Village,Gakoma Village,Rwisirabo Cell,Gakoma,6,01-01-00
Humure Village,Humure Village,Humure Village,Rwisirabo Cell,Humure,6,01-01-00
Karangazi Village,Karangazi Village,Karangazi Village,Rwisirabo Cell,Karangazi,6,01-01-00
Rubona Village,Rubona Village,Rubona Village,Rwisirabo Cell,Rubona,6,01-01-00
Rukundo Village,Rukundo Village,Rukundo Village,Rwisirabo Cell,Rukundo,6,01-01-00
Katabagemu Sector,Katabagemu Sector,Katabagemu Sector,Nyagatare District,Katabagemu,4,01-01-00
Bayigaburire Cell,Bayigaburire Cell,Bayigaburire Cell,Katabagemu Sector,Bayigaburire,5,01-01-00
Agasasa Village,Agasasa Village,Agasasa Village,Bayigaburire Cell,Agasasa,6,01-01-00
Bingaro Village,Bingaro Village,Bingaro Village,Bayigaburire Cell,Bingaro,6,01-01-00
Byimana Village,Byimana Village,Byimana Village,Bayigaburire Cell,Byimana,6,01-01-00
Gikandura Village,Gikandura Village,Gikandura Village,Bayigaburire Cell,Gikandura,6,01-01-00
Igikorosi Village,Igikorosi Village,Igikorosi Village,Bayigaburire Cell,Igikorosi,6,01-01-00
Kibuye Village,Kibuye Village,Kibuye Village,Bayigaburire Cell,Kibuye,6,01-01-00
Nyagahandagaza Village,Nyagahandagaza Village,Nyagahandagaza Village,Bayigaburire Cell,Nyagahandagaza,6,01-01-00
Kaduha Cell,Kaduha Cell,Kaduha Cell,Katabagemu Sector,Kaduha,5,01-01-00
Kaduha I Village,Kaduha I Village,Kaduha I Village,Kaduha Cell,Kaduha I,6,01-01-00
Kaduha II Village,Kaduha II Village,Kaduha II Village,Kaduha Cell,Kaduha II,6,01-01-00
Kanyinya Village,Kanyinya Village,Kanyinya Village,Kaduha Cell,Kanyinya,6,01-01-00
Nyabiyonza Village,Nyabiyonza Village,Nyabiyonza Village,Kaduha Cell,Nyabiyonza,6,01-01-00
Urumuri Village,Urumuri Village,Urumuri Village,Kaduha Cell,Urumuri,6,01-01-00
Kanyeganyege Cell,Kanyeganyege Cell,Kanyeganyege Cell,Katabagemu Sector,Kanyeganyege,5,01-01-00
Kabaya Village,Kabaya Village,Kabaya Village,Kanyeganyege Cell,Kabaya,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Kanyeganyege Cell,Kabeza,6,01-01-00
Kanyeganyege Village,Kanyeganyege Village,Kanyeganyege Village,Kanyeganyege Cell,Kanyeganyege,6,01-01-00
Rebero Village,Rebero Village,Rebero Village,Kanyeganyege Cell,Rebero,6,01-01-00
Katabagemu Cell,Katabagemu Cell,Katabagemu Cell,Katabagemu Sector,Katabagemu,5,01-01-00
Gashenyi Village,Gashenyi Village,Gashenyi Village,Katabagemu Cell,Gashenyi,6,01-01-00
Kagogo Village,Kagogo Village,Kagogo Village,Katabagemu Cell,Kagogo,6,01-01-00
Kajevuba Village,Kajevuba Village,Kajevuba Village,Katabagemu Cell,Kajevuba,6,01-01-00
Kigarama Village,Kigarama Village,Kigarama Village,Katabagemu Cell,Kigarama,6,01-01-00
Nyabwunyu Village,Nyabwunyu Village,Nyabwunyu Village,Katabagemu Cell,Nyabwunyu,6,01-01-00
Umunanira Village,Umunanira Village,Umunanira Village,Katabagemu Cell,Umunanira,6,01-01-00
Kigarama Cell,Kigarama Cell,Kigarama Cell,Katabagemu Sector,Kigarama,5,01-01-00
Kanguka Village,Kanguka Village,Kanguka Village,Kigarama Cell,Kanguka,6,01-01-00
Kibuye Village,Kibuye Village,Kibuye Village,Kigarama Cell,Kibuye,6,01-01-00
Kigarama Village,Kigarama Village,Kigarama Village,Kigarama Cell,Kigarama,6,01-01-00
Rebero Village,Rebero Village,Rebero Village,Kigarama Cell,Rebero,6,01-01-00
Shirimpumu Village,Shirimpumu Village,Shirimpumu Village,Kigarama Cell,Shirimpumu,6,01-01-00
Nyakigando Cell,Nyakigando Cell,Nyakigando Cell,Katabagemu Sector,Nyakigando,5,01-01-00
Byimana Village,Byimana Village,Byimana Village,Nyakigando Cell,Byimana,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Nyakigando Cell,Kabeza,6,01-01-00
Kamutara Village,Kamutara Village,Kamutara Village,Nyakigando Cell,Kamutara,6,01-01-00
Ntoma Village,Ntoma Village,Ntoma Village,Nyakigando Cell,Ntoma,6,01-01-00
Nyakigando I Village,Nyakigando I Village,Nyakigando I Village,Nyakigando Cell,Nyakigando I,6,01-01-00
Nyakigando II Village,Nyakigando II Village,Nyakigando II Village,Nyakigando Cell,Nyakigando II,6,01-01-00
Rebero Village,Rebero Village,Rebero Village,Nyakigando Cell,Rebero,6,01-01-00
Rubira Cell,Rubira Cell,Rubira Cell,Katabagemu Sector,Rubira,5,01-01-00
Igitego Village,Igitego Village,Igitego Village,Rubira Cell,Igitego,6,01-01-00
Isangano Village,Isangano Village,Isangano Village,Rubira Cell,Isangano,6,01-01-00
Kanyesunzu Village,Kanyesunzu Village,Kanyesunzu Village,Rubira Cell,Kanyesunzu,6,01-01-00
Rubira Village,Rubira Village,Rubira Village,Rubira Cell,Rubira,6,01-01-00
Rugazi Cell,Rugazi Cell,Rugazi Cell,Katabagemu Sector,Rugazi,5,01-01-00
Akabira Village,Akabira Village,Akabira Village,Rugazi Cell,Akabira,6,01-01-00
Burera Village,Burera Village,Burera Village,Rugazi Cell,Burera,6,01-01-00
Ishyirahamwe Village,Ishyirahamwe Village,Ishyirahamwe Village,Rugazi Cell,Ishyirahamwe,6,01-01-00
Rwagisangangabo Village,Rwagisangangabo Village,Rwagisangangabo Village,Rugazi Cell,Rwagisangangabo,6,01-01-00
Rutoma Cell,Rutoma Cell,Rutoma Cell,Katabagemu Sector,Rutoma,5,01-01-00
Buyugi Village,Buyugi Village,Buyugi Village,Rutoma Cell,Buyugi,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Rutoma Cell,Kabeza,6,01-01-00
Mahoro Village,Mahoro Village,Mahoro Village,Rutoma Cell,Mahoro,6,01-01-00
Rutoma Village,Rutoma Village,Rutoma Village,Rutoma Cell,Rutoma,6,01-01-00
Ryaruganzu Village,Ryaruganzu Village,Ryaruganzu Village,Rutoma Cell,Ryaruganzu,6,01-01-00
Kiyombe Sector,Kiyombe Sector,Kiyombe Sector,Nyagatare District,Kiyombe,4,01-01-00
Gataba Cell,Gataba Cell,Gataba Cell,Kiyombe Sector,Gataba,5,01-01-00
Cyemiyaga Village,Cyemiyaga Village,Cyemiyaga Village,Gataba Cell,Cyemiyaga,6,01-01-00
Gahama Village,Gahama Village,Gahama Village,Gataba Cell,Gahama,6,01-01-00
Gicuba Village,Gicuba Village,Gicuba Village,Gataba Cell,Gicuba,6,01-01-00
Kwiperu Village,Kwiperu Village,Kwiperu Village,Gataba Cell,Kwiperu,6,01-01-00
Nyakabungo Village,Nyakabungo Village,Nyakabungo Village,Gataba Cell,Nyakabungo,6,01-01-00
Nyamiyaga Village,Nyamiyaga Village,Nyamiyaga Village,Gataba Cell,Nyamiyaga,6,01-01-00
Ruhonwa Village,Ruhonwa Village,Ruhonwa Village,Gataba Cell,Ruhonwa,6,01-01-00
Ruhuha Village,Ruhuha Village,Ruhuha Village,Gataba Cell,Ruhuha,6,01-01-00
Rutete Village,Rutete Village,Rutete Village,Gataba Cell,Rutete,6,01-01-00
Rwabashanja Village,Rwabashanja Village,Rwabashanja Village,Gataba Cell,Rwabashanja,6,01-01-00
Rwakikunengwa Village,Rwakikunengwa Village,Rwakikunengwa Village,Gataba Cell,Rwakikunengwa,6,01-01-00
Rwebare Village,Rwebare Village,Rwebare Village,Gataba Cell,Rwebare,6,01-01-00
Gitenga Cell,Gitenga Cell,Gitenga Cell,Kiyombe Sector,Gitenga,5,01-01-00
Gitenga Village,Gitenga Village,Gitenga Village,Gitenga Cell,Gitenga,6,01-01-00
Izinga Village,Izinga Village,Izinga Village,Gitenga Cell,Izinga,6,01-01-00
Kabingo Village,Kabingo Village,Kabingo Village,Gitenga Cell,Kabingo,6,01-01-00
Kibuye Village,Kibuye Village,Kibuye Village,Gitenga Cell,Kibuye,6,01-01-00
Muhambo Village,Muhambo Village,Muhambo Village,Gitenga Cell,Muhambo,6,01-01-00
Mukasha Village,Mukasha Village,Mukasha Village,Gitenga Cell,Mukasha,6,01-01-00
Nyabubare Village,Nyabubare Village,Nyabubare Village,Gitenga Cell,Nyabubare,6,01-01-00
Rwagakuba Village,Rwagakuba Village,Rwagakuba Village,Gitenga Cell,Rwagakuba,6,01-01-00
Kabungo Cell,Kabungo Cell,Kabungo Cell,Kiyombe Sector,Kabungo,5,01-01-00
Bitare Village,Bitare Village,Bitare Village,Kabungo Cell,Bitare,6,01-01-00
Cyondo Village,Cyondo Village,Cyondo Village,Kabungo Cell,Cyondo,6,01-01-00
Gatoki Village,Gatoki Village,Gatoki Village,Kabungo Cell,Gatoki,6,01-01-00
Gorora Village,Gorora Village,Gorora Village,Kabungo Cell,Gorora,6,01-01-00
Kindege Village,Kindege Village,Kindege Village,Kabungo Cell,Kindege,6,01-01-00
Manombe Village,Manombe Village,Manombe Village,Kabungo Cell,Manombe,6,01-01-00
Mataba Village,Mataba Village,Mataba Village,Kabungo Cell,Mataba,6,01-01-00
Murambi Village,Murambi Village,Murambi Village,Kabungo Cell,Murambi,6,01-01-00
Nyakabungo Village,Nyakabungo Village,Nyakabungo Village,Kabungo Cell,Nyakabungo,6,01-01-00
Rugarama Village,Rugarama Village,Rugarama Village,Kabungo Cell,Rugarama,6,01-01-00
Rwamiko Village,Rwamiko Village,Rwamiko Village,Kabungo Cell,Rwamiko,6,01-01-00
Rwamushe Village,Rwamushe Village,Rwamushe Village,Kabungo Cell,Rwamushe,6,01-01-00
Karambo Cell,Karambo Cell,Karambo Cell,Kiyombe Sector,Karambo,5,01-01-00
Bureka Village,Bureka Village,Bureka Village,Karambo Cell,Bureka,6,01-01-00
Butehe Village,Butehe Village,Butehe Village,Karambo Cell,Butehe,6,01-01-00
Kakagaju Village,Kakagaju Village,Kakagaju Village,Karambo Cell,Kakagaju,6,01-01-00
Karujanga Village,Karujanga Village,Karujanga Village,Karambo Cell,Karujanga,6,01-01-00
Kinoga Village,Kinoga Village,Kinoga Village,Karambo Cell,Kinoga,6,01-01-00
Kitaburimbi Village,Kitaburimbi Village,Kitaburimbi Village,Karambo Cell,Kitaburimbi,6,01-01-00
Nkana Village,Nkana Village,Nkana Village,Karambo Cell,Nkana,6,01-01-00
Nyakabungo Village,Nyakabungo Village,Nyakabungo Village,Karambo Cell,Nyakabungo,6,01-01-00
Rugarama Village,Rugarama Village,Rugarama Village,Karambo Cell,Rugarama,6,01-01-00
Rwakashande Village,Rwakashande Village,Rwakashande Village,Karambo Cell,Rwakashande,6,01-01-00
Rwemisavu Village,Rwemisavu Village,Rwemisavu Village,Karambo Cell,Rwemisavu,6,01-01-00
Rwengugwe Village,Rwengugwe Village,Rwengugwe Village,Karambo Cell,Rwengugwe,6,01-01-00
Karujumba Cell,Karujumba Cell,Karujumba Cell,Kiyombe Sector,Karujumba,5,01-01-00
Gishoro Village,Gishoro Village,Gishoro Village,Karujumba Cell,Gishoro,6,01-01-00
Kabare Village,Kabare Village,Kabare Village,Karujumba Cell,Kabare,6,01-01-00
Kagorogoro Village,Kagorogoro Village,Kagorogoro Village,Karujumba Cell,Kagorogoro,6,01-01-00
Kajevuba Village,Kajevuba Village,Kajevuba Village,Karujumba Cell,Kajevuba,6,01-01-00
Karujumba Centre Village,Karujumba Centre Village,Karujumba Centre Village,Karujumba Cell,Karujumba Centre,6,01-01-00
Katoma Village,Katoma Village,Katoma Village,Karujumba Cell,Katoma,6,01-01-00
Kenzizi Village,Kenzizi Village,Kenzizi Village,Karujumba Cell,Kenzizi,6,01-01-00
Mushesha Village,Mushesha Village,Mushesha Village,Karujumba Cell,Mushesha,6,01-01-00
Mweneno Village,Mweneno Village,Mweneno Village,Karujumba Cell,Mweneno,6,01-01-00
Ngangare Village,Ngangare Village,Ngangare Village,Karujumba Cell,Ngangare,6,01-01-00
Nyabwongoroka Village,Nyabwongoroka Village,Nyabwongoroka Village,Karujumba Cell,Nyabwongoroka,6,01-01-00
Nyange Village,Nyange Village,Nyange Village,Karujumba Cell,Nyange,6,01-01-00
Rukongoro Village,Rukongoro Village,Rukongoro Village,Karujumba Cell,Rukongoro,6,01-01-00
Tovu Cell,Tovu Cell,Tovu Cell,Kiyombe Sector,Tovu,5,01-01-00
Cyerero Village,Cyerero Village,Cyerero Village,Tovu Cell,Cyerero,6,01-01-00
Gashuro Village,Gashuro Village,Gashuro Village,Tovu Cell,Gashuro,6,01-01-00
Gasyata Village,Gasyata Village,Gasyata Village,Tovu Cell,Gasyata,6,01-01-00
Gatyazo Village,Gatyazo Village,Gatyazo Village,Tovu Cell,Gatyazo,6,01-01-00
Nyagatete Village,Nyagatete Village,Nyagatete Village,Tovu Cell,Nyagatete,6,01-01-00
Nyakigera Village,Nyakigera Village,Nyakigera Village,Tovu Cell,Nyakigera,6,01-01-00
Nyamirima Village,Nyamirima Village,Nyamirima Village,Tovu Cell,Nyamirima,6,01-01-00
Nyaruziba Village,Nyaruziba Village,Nyaruziba Village,Tovu Cell,Nyaruziba,6,01-01-00
Rugarama Village,Rugarama Village,Rugarama Village,Tovu Cell,Rugarama,6,01-01-00
Rutungo Village,Rutungo Village,Rutungo Village,Tovu Cell,Rutungo,6,01-01-00
Matimba Sector,Matimba Sector,Matimba Sector,Nyagatare District,Matimba,4,01-01-00
Bwera Cell,Bwera Cell,Bwera Cell,Matimba Sector,Bwera,5,01-01-00
Bwera Village,Bwera Village,Bwera Village,Bwera Cell,Bwera,6,01-01-00
Ntoma Village,Ntoma Village,Ntoma Village,Bwera Cell,Ntoma,6,01-01-00
Rugaga Village,Rugaga Village,Rugaga Village,Bwera Cell,Rugaga,6,01-01-00
Byimana Cell,Byimana Cell,Byimana Cell,Matimba Sector,Byimana,5,01-01-00
Byimana I Village,Byimana I Village,Byimana I Village,Byimana Cell,Byimana I,6,01-01-00
Byimana II Village,Byimana II Village,Byimana II Village,Byimana Cell,Byimana II,6,01-01-00
Byimana III Village,Byimana III Village,Byimana III Village,Byimana Cell,Byimana III,6,01-01-00
Kabuga I Village,Kabuga I Village,Kabuga I Village,Byimana Cell,Kabuga I,6,01-01-00
Kabuga II Village,Kabuga II Village,Kabuga II Village,Byimana Cell,Kabuga II,6,01-01-00
Cyembogo Cell,Cyembogo Cell,Cyembogo Cell,Matimba Sector,Cyembogo,5,01-01-00
Byimana Village,Byimana Village,Byimana Village,Cyembogo Cell,Byimana,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Cyembogo Cell,Kabeza,6,01-01-00
Kamahoro Village,Kamahoro Village,Kamahoro Village,Cyembogo Cell,Kamahoro,6,01-01-00
Kiyovu Village,Kiyovu Village,Kiyovu Village,Cyembogo Cell,Kiyovu,6,01-01-00
Kagitumba Cell,Kagitumba Cell,Kagitumba Cell,Matimba Sector,Kagitumba,5,01-01-00
Gishara Village,Gishara Village,Gishara Village,Kagitumba Cell,Gishara,6,01-01-00
Kagera Village,Kagera Village,Kagera Village,Kagitumba Cell,Kagera,6,01-01-00
Kagitumba Village,Kagitumba Village,Kagitumba Village,Kagitumba Cell,Kagitumba,6,01-01-00
Kamabuye Village,Kamabuye Village,Kamabuye Village,Kagitumba Cell,Kamabuye,6,01-01-00
Munini Village,Munini Village,Munini Village,Kagitumba Cell,Munini,6,01-01-00
Musenyi Village,Musenyi Village,Musenyi Village,Kagitumba Cell,Musenyi,6,01-01-00
Muvumba Village,Muvumba Village,Muvumba Village,Kagitumba Cell,Muvumba,6,01-01-00
Nziranziza Village,Nziranziza Village,Nziranziza Village,Kagitumba Cell,Nziranziza,6,01-01-00
Kanyonza Cell,Kanyonza Cell,Kanyonza Cell,Matimba Sector,Kanyonza,5,01-01-00
Gakoma Village,Gakoma Village,Gakoma Village,Kanyonza Cell,Gakoma,6,01-01-00
Musebeya Village,Musebeya Village,Musebeya Village,Kanyonza Cell,Musebeya,6,01-01-00
Musha Village,Musha Village,Musha Village,Kanyonza Cell,Musha,6,01-01-00
Nyampeke Village,Nyampeke Village,Nyampeke Village,Kanyonza Cell,Nyampeke,6,01-01-00
Rukundo Village,Rukundo Village,Rukundo Village,Kanyonza Cell,Rukundo,6,01-01-00
Matimba Cell,Matimba Cell,Matimba Cell,Matimba Sector,Matimba,5,01-01-00
Umudugudu Wa I Village,Umudugudu Wa I Village,Umudugudu Wa I Village,Matimba Cell,Umudugudu Wa I,6,01-01-00
Umudugudu Wa II Village,Umudugudu Wa II Village,Umudugudu Wa II Village,Matimba Cell,Umudugudu Wa II,6,01-01-00
Umudugudu Wa III Village,Umudugudu Wa III Village,Umudugudu Wa III Village,Matimba Cell,Umudugudu Wa III,6,01-01-00
Umudugudu Wa IV Village,Umudugudu Wa IV Village,Umudugudu Wa IV Village,Matimba Cell,Umudugudu Wa IV,6,01-01-00
Umudugudu Wa V Village,Umudugudu Wa V Village,Umudugudu Wa V Village,Matimba Cell,Umudugudu Wa V,6,01-01-00
Umudugudu Wa VI Village,Umudugudu Wa VI Village,Umudugudu Wa VI Village,Matimba Cell,Umudugudu Wa VI,6,01-01-00
Umudugudu Wa VII Village,Umudugudu Wa VII Village,Umudugudu Wa VII Village,Matimba Cell,Umudugudu Wa VII,6,01-01-00
Nyabwishongwezi Cell,Nyabwishongwezi Cell,Nyabwishongwezi Cell,Matimba Sector,Nyabwishongwezi,5,01-01-00
Nyabwishongwezi I Village,Nyabwishongwezi I Village,Nyabwishongwezi I Village,Nyabwishongwezi Cell,Nyabwishongwezi I,6,01-01-00
Nyabwishongwezi II Village,Nyabwishongwezi II Village,Nyabwishongwezi II Village,Nyabwishongwezi Cell,Nyabwishongwezi II,6,01-01-00
Nyabwishongwezi III Village,Nyabwishongwezi III Village,Nyabwishongwezi III Village,Nyabwishongwezi Cell,Nyabwishongwezi III,6,01-01-00
Rwentanga Cell,Rwentanga Cell,Rwentanga Cell,Matimba Sector,Rwentanga,5,01-01-00
Kagezi I Village,Kagezi I Village,Kagezi I Village,Rwentanga Cell,Kagezi I,6,01-01-00
Kagezi II Village,Kagezi II Village,Kagezi II Village,Rwentanga Cell,Kagezi II,6,01-01-00
Mitayayo I Village,Mitayayo I Village,Mitayayo I Village,Rwentanga Cell,Mitayayo I,6,01-01-00
Mitayayo II Village,Mitayayo II Village,Mitayayo II Village,Rwentanga Cell,Mitayayo II,6,01-01-00
Rwentanga Village,Rwentanga Village,Rwentanga Village,Rwentanga Cell,Rwentanga,6,01-01-00
Mimuri Sector,Mimuri Sector,Mimuri Sector,Nyagatare District,Mimuri,4,01-01-00
Bibare Cell,Bibare Cell,Bibare Cell,Mimuri Sector,Bibare,5,01-01-00
Bibare Village,Bibare Village,Bibare Village,Bibare Cell,Bibare,6,01-01-00
Karukwanzi Village,Karukwanzi Village,Karukwanzi Village,Bibare Cell,Karukwanzi,6,01-01-00
Nyakagenge Village,Nyakagenge Village,Nyakagenge Village,Bibare Cell,Nyakagenge,6,01-01-00
Nyamafura Village,Nyamafura Village,Nyamafura Village,Bibare Cell,Nyamafura,6,01-01-00
Nyaruziba Village,Nyaruziba Village,Nyaruziba Village,Bibare Cell,Nyaruziba,6,01-01-00
Rwimirama Village,Rwimirama Village,Rwimirama Village,Bibare Cell,Rwimirama,6,01-01-00
Urugano Village,Urugano Village,Urugano Village,Bibare Cell,Urugano,6,01-01-00
Urutambi Village,Urutambi Village,Urutambi Village,Bibare Cell,Urutambi,6,01-01-00
Gakoma Cell,Gakoma Cell,Gakoma Cell,Mimuri Sector,Gakoma,5,01-01-00
Gakoma Village,Gakoma Village,Gakoma Village,Gakoma Cell,Gakoma,6,01-01-00
Gisenyi Village,Gisenyi Village,Gisenyi Village,Gakoma Cell,Gisenyi,6,01-01-00
Kanyinya Village,Kanyinya Village,Kanyinya Village,Gakoma Cell,Kanyinya,6,01-01-00
Kumusaraba Village,Kumusaraba Village,Kumusaraba Village,Gakoma Cell,Kumusaraba,6,01-01-00
Nyagahandagaza Village,Nyagahandagaza Village,Nyagahandagaza Village,Gakoma Cell,Nyagahandagaza,6,01-01-00
Nyarwina Village,Nyarwina Village,Nyarwina Village,Gakoma Cell,Nyarwina,6,01-01-00
Rusororo Village,Rusororo Village,Rusororo Village,Gakoma Cell,Rusororo,6,01-01-00
Mahoro Cell,Mahoro Cell,Mahoro Cell,Mimuri Sector,Mahoro,5,01-01-00
Cyabwana Village,Cyabwana Village,Cyabwana Village,Mahoro Cell,Cyabwana,6,01-01-00
Gitwe Village,Gitwe Village,Gitwe Village,Mahoro Cell,Gitwe,6,01-01-00
Iterambere Village,Iterambere Village,Iterambere Village,Mahoro Cell,Iterambere,6,01-01-00
